Date,Type,Subgroup,Continued claims
01/23/2021,Continued claims by age,60 to 69,25973
01/30/2021,Continued claims by age,60 to 69,26399
02/06/2021,Continued claims by age,60 to 69,26532
02/13/2021,Continued claims by age,60 to 69,26562
02/20/2021,Continued claims by age,60 to 69,26783
02/27/2021,Continued claims by age,60 to 69,26459
03/06/2021,Continued claims by age,60 to 69,26240
03/13/2021,Continued claims by age,60 to 69,25978
03/20/2021,Continued claims by age,60 to 69,25674
03/27/2021,Continued claims by age,60 to 69,24989
04/03/2021,Continued claims by age,60 to 69,24426
04/10/2021,Continued claims by age,60 to 69,24573
04/17/2021,Continued claims by age,60 to 69,24642
04/24/2021,Continued claims by age,60 to 69,23576
05/01/2021,Continued claims by age,60 to 69,23168
05/08/2021,Continued claims by age,60 to 69,22883
05/15/2021,Continued claims by age,60 to 69,22748
05/22/2021,Continued claims by age,60 to 69,22530
05/29/2021,Continued claims by age,60 to 69,22156
06/05/2021,Continued claims by age,60 to 69,21143
06/12/2021,Continued claims by age,60 to 69,20872
06/19/2021,Continued claims by age,60 to 69,21124
06/26/2021,Continued claims by age,60 to 69,21312
07/03/2021,Continued claims by age,60 to 69,20873
07/10/2021,Continued claims by age,60 to 69,18652
07/17/2021,Continued claims by age,60 to 69,17886
07/24/2021,Continued claims by age,60 to 69,17352
07/31/2021,Continued claims by age,60 to 69,17042
08/07/2021,Continued claims by age,60 to 69,16811
08/14/2021,Continued claims by age,60 to 69,16625
08/21/2021,Continued claims by age,60 to 69,16355
08/28/2021,Continued claims by age,60 to 69,15800
09/04/2021,Continued claims by age,60 to 69,14203
09/11/2021,Continued claims by age,60 to 69,10342
09/18/2021,Continued claims by age,60 to 69,8317
09/25/2021,Continued claims by age,60 to 69,8039
10/02/2021,Continued claims by age,60 to 69,7693
10/09/2021,Continued claims by age,60 to 69,7504
10/16/2021,Continued claims by age,60 to 69,7353
10/23/2021,Continued claims by age,60 to 69,7160
10/30/2021,Continued claims by age,60 to 69,7147
11/06/2021,Continued claims by age,60 to 69,7127
11/13/2021,Continued claims by age,60 to 69,7071
11/20/2021,Continued claims by age,60 to 69,7099
11/27/2021,Continued claims by age,60 to 69,7116
12/04/2021,Continued claims by age,60 to 69,6978
12/11/2021,Continued claims by age,60 to 69,4921
12/18/2021,Continued claims by age,60 to 69,5126
12/25/2021,Continued claims by age,60 to 69,6168
01/01/2022,Continued claims by age,60 to 69,6559
01/08/2022,Continued claims by age,60 to 69,5497
01/15/2022,Continued claims by age,60 to 69,4648
01/22/2022,Continued claims by age,60 to 69,4566
01/29/2022,Continued claims by age,60 to 69,4484
02/05/2022,Continued claims by age,60 to 69,4522
02/12/2022,Continued claims by age,60 to 69,4438
02/19/2022,Continued claims by age,60 to 69,4522
02/26/2022,Continued claims by age,60 to 69,4525
03/05/2022,Continued claims by age,60 to 69,4244
03/12/2022,Continued claims by age,60 to 69,3973
03/19/2022,Continued claims by age,60 to 69,3762
03/26/2022,Continued claims by age,60 to 69,3395
04/02/2022,Continued claims by age,60 to 69,3158
04/09/2022,Continued claims by age,60 to 69,2937
04/16/2022,Continued claims by age,60 to 69,3033
01/05/2019,Continued claims by age,70 to 79,1058
01/12/2019,Continued claims by age,70 to 79,992
01/19/2019,Continued claims by age,70 to 79,992
01/26/2019,Continued claims by age,70 to 79,974
02/02/2019,Continued claims by age,70 to 79,984
02/09/2019,Continued claims by age,70 to 79,995
02/16/2019,Continued claims by age,70 to 79,1036
02/23/2019,Continued claims by age,70 to 79,1033
03/02/2019,Continued claims by age,70 to 79,1005
03/09/2019,Continued claims by age,70 to 79,1009
03/16/2019,Continued claims by age,70 to 79,1019
03/23/2019,Continued claims by age,70 to 79,985
03/30/2019,Continued claims by age,70 to 79,914
04/06/2019,Continued claims by age,70 to 79,884
04/13/2019,Continued claims by age,70 to 79,1077
04/20/2019,Continued claims by age,70 to 79,1136
04/27/2019,Continued claims by age,70 to 79,796
05/04/2019,Continued claims by age,70 to 79,760
05/11/2019,Continued claims by age,70 to 79,770
05/18/2019,Continued claims by age,70 to 79,795
05/25/2019,Continued claims by age,70 to 79,836
06/01/2019,Continued claims by age,70 to 79,810
06/08/2019,Continued claims by age,70 to 79,827
06/15/2019,Continued claims by age,70 to 79,932
06/22/2019,Continued claims by age,70 to 79,1304
06/29/2019,Continued claims by age,70 to 79,1378
07/06/2019,Continued claims by age,70 to 79,1371
07/13/2019,Continued claims by age,70 to 79,1332
07/20/2019,Continued claims by age,70 to 79,1327
07/27/2019,Continued claims by age,70 to 79,1331
08/03/2019,Continued claims by age,70 to 79,1370
08/10/2019,Continued claims by age,70 to 79,1406
08/17/2019,Continued claims by age,70 to 79,1427
08/24/2019,Continued claims by age,70 to 79,1387
08/31/2019,Continued claims by age,70 to 79,1002
09/07/2019,Continued claims by age,70 to 79,779
09/14/2019,Continued claims by age,70 to 79,755
09/21/2019,Continued claims by age,70 to 79,752
09/28/2019,Continued claims by age,70 to 79,747
10/05/2019,Continued claims by age,70 to 79,736
10/12/2019,Continued claims by age,70 to 79,731
10/19/2019,Continued claims by age,70 to 79,728
10/26/2019,Continued claims by age,70 to 79,734
11/02/2019,Continued claims by age,70 to 79,749
11/09/2019,Continued claims by age,70 to 79,775
11/16/2019,Continued claims by age,70 to 79,797
11/23/2019,Continued claims by age,70 to 79,830
11/30/2019,Continued claims by age,70 to 79,889
12/07/2019,Continued claims by age,70 to 79,882
12/14/2019,Continued claims by age,70 to 79,933
12/21/2019,Continued claims by age,70 to 79,1289
12/28/2019,Continued claims by age,70 to 79,1504
01/04/2020,Continued claims by age,70 to 79,1310
01/11/2020,Continued claims by age,70 to 79,1076
01/18/2020,Continued claims by age,70 to 79,1074
01/25/2020,Continued claims by age,70 to 79,1054
02/01/2020,Continued claims by age,70 to 79,1063
02/08/2020,Continued claims by age,70 to 79,1071
02/15/2020,Continued claims by age,70 to 79,1111
02/22/2020,Continued claims by age,70 to 79,1109
02/29/2020,Continued claims by age,70 to 79,1077
03/07/2020,Continued claims by age,70 to 79,1099
03/14/2020,Continued claims by age,70 to 79,1432
03/21/2020,Continued claims by age,70 to 79,3469
03/28/2020,Continued claims by age,70 to 79,5376
04/04/2020,Continued claims by age,70 to 79,7141
04/11/2020,Continued claims by age,70 to 79,8010
04/18/2020,Continued claims by age,70 to 79,8632
04/25/2020,Continued claims by age,70 to 79,8888
05/02/2020,Continued claims by age,70 to 79,9404
05/09/2020,Continued claims by age,70 to 79,9299
05/16/2020,Continued claims by age,70 to 79,9213
05/23/2020,Continued claims by age,70 to 79,9282
05/30/2020,Continued claims by age,70 to 79,9242
06/06/2020,Continued claims by age,70 to 79,9122
06/13/2020,Continued claims by age,70 to 79,9122
06/20/2020,Continued claims by age,70 to 79,9217
06/27/2020,Continued claims by age,70 to 79,9290
07/04/2020,Continued claims by age,70 to 79,9208
07/11/2020,Continued claims by age,70 to 79,9286
07/18/2020,Continued claims by age,70 to 79,9190
07/25/2020,Continued claims by age,70 to 79,9193
08/01/2020,Continued claims by age,70 to 79,9039
08/08/2020,Continued claims by age,70 to 79,8834
08/15/2020,Continued claims by age,70 to 79,8673
08/22/2020,Continued claims by age,70 to 79,8494
08/29/2020,Continued claims by age,70 to 79,8371
09/05/2020,Continued claims by age,70 to 79,8051
09/12/2020,Continued claims by age,70 to 79,7630
09/19/2020,Continued claims by age,70 to 79,7325
09/26/2020,Continued claims by age,70 to 79,7087
10/03/2020,Continued claims by age,70 to 79,6940
10/10/2020,Continued claims by age,70 to 79,6848
10/17/2020,Continued claims by age,70 to 79,6781
10/24/2020,Continued claims by age,70 to 79,6759
10/31/2020,Continued claims by age,70 to 79,6693
11/07/2020,Continued claims by age,70 to 79,6650
11/14/2020,Continued claims by age,70 to 79,6540
11/21/2020,Continued claims by age,70 to 79,6469
11/28/2020,Continued claims by age,70 to 79,6502
12/05/2020,Continued claims by age,70 to 79,6633
12/12/2020,Continued claims by age,70 to 79,6686
12/19/2020,Continued claims by age,70 to 79,6621
12/26/2020,Continued claims by age,70 to 79,6719
01/02/2021,Continued claims by age,70 to 79,7123
01/09/2021,Continued claims by age,70 to 79,7132
01/16/2021,Continued claims by age,70 to 79,7196
01/23/2021,Continued claims by age,70 to 79,7130
01/30/2021,Continued claims by age,70 to 79,7205
02/06/2021,Continued claims by age,70 to 79,7214
02/13/2021,Continued claims by age,70 to 79,7216
02/20/2021,Continued claims by age,70 to 79,7271
02/27/2021,Continued claims by age,70 to 79,7238
03/06/2021,Continued claims by age,70 to 79,7235
03/13/2021,Continued claims by age,70 to 79,7213
03/20/2021,Continued claims by age,70 to 79,7122
03/27/2021,Continued claims by age,70 to 79,7021
04/03/2021,Continued claims by age,70 to 79,6937
04/10/2021,Continued claims by age,70 to 79,7050
04/17/2021,Continued claims by age,70 to 79,7006
04/24/2021,Continued claims by age,70 to 79,6714
05/01/2021,Continued claims by age,70 to 79,6605
05/08/2021,Continued claims by age,70 to 79,6528
05/15/2021,Continued claims by age,70 to 79,6446
05/22/2021,Continued claims by age,70 to 79,6386
05/29/2021,Continued claims by age,70 to 79,6227
06/05/2021,Continued claims by age,70 to 79,5823
06/12/2021,Continued claims by age,70 to 79,5774
06/19/2021,Continued claims by age,70 to 79,5852
06/26/2021,Continued claims by age,70 to 79,6000
07/03/2021,Continued claims by age,70 to 79,5830
07/10/2021,Continued claims by age,70 to 79,5057
07/17/2021,Continued claims by age,70 to 79,4794
07/24/2021,Continued claims by age,70 to 79,4633
07/31/2021,Continued claims by age,70 to 79,4553
08/07/2021,Continued claims by age,70 to 79,4540
08/14/2021,Continued claims by age,70 to 79,4520
08/21/2021,Continued claims by age,70 to 79,4466
08/28/2021,Continued claims by age,70 to 79,4321
09/04/2021,Continued claims by age,70 to 79,3782
09/11/2021,Continued claims by age,70 to 79,2600
09/18/2021,Continued claims by age,70 to 79,2022
09/25/2021,Continued claims by age,70 to 79,1952
10/02/2021,Continued claims by age,70 to 79,1879
10/09/2021,Continued claims by age,70 to 79,1815
10/16/2021,Continued claims by age,70 to 79,1768
10/23/2021,Continued claims by age,70 to 79,1747
10/30/2021,Continued claims by age,70 to 79,1724
11/06/2021,Continued claims by age,70 to 79,1727
11/13/2021,Continued claims by age,70 to 79,1698
11/20/2021,Continued claims by age,70 to 79,1707
11/27/2021,Continued claims by age,70 to 79,1708
12/04/2021,Continued claims by age,70 to 79,1691
12/11/2021,Continued claims by age,70 to 79,1027
12/18/2021,Continued claims by age,70 to 79,1041
12/25/2021,Continued claims by age,70 to 79,1357
01/01/2022,Continued claims by age,70 to 79,1424
01/08/2022,Continued claims by age,70 to 79,1053
01/15/2022,Continued claims by age,70 to 79,849
01/22/2022,Continued claims by age,70 to 79,836
01/29/2022,Continued claims by age,70 to 79,825
02/05/2022,Continued claims by age,70 to 79,809
02/12/2022,Continued claims by age,70 to 79,791
02/19/2022,Continued claims by age,70 to 79,841
02/26/2022,Continued claims by age,70 to 79,873
03/05/2022,Continued claims by age,70 to 79,790
03/12/2022,Continued claims by age,70 to 79,741
03/19/2022,Continued claims by age,70 to 79,695
03/26/2022,Continued claims by age,70 to 79,624
04/02/2022,Continued claims by age,70 to 79,574
04/09/2022,Continued claims by age,70 to 79,526
04/16/2022,Continued claims by age,70 to 79,631
01/05/2019,Continued claims by age,80 to 89,160
01/12/2019,Continued claims by age,80 to 89,147
01/19/2019,Continued claims by age,80 to 89,145
01/26/2019,Continued claims by age,80 to 89,141
02/02/2019,Continued claims by age,80 to 89,142
02/09/2019,Continued claims by age,80 to 89,140
02/16/2019,Continued claims by age,80 to 89,142
02/23/2019,Continued claims by age,80 to 89,148
03/02/2019,Continued claims by age,80 to 89,141
03/09/2019,Continued claims by age,80 to 89,139
03/16/2019,Continued claims by age,80 to 89,131
03/23/2019,Continued claims by age,80 to 89,128
03/30/2019,Continued claims by age,80 to 89,113
04/06/2019,Continued claims by age,80 to 89,107
04/13/2019,Continued claims by age,80 to 89,121
04/20/2019,Continued claims by age,80 to 89,129
04/27/2019,Continued claims by age,80 to 89,89
05/04/2019,Continued claims by age,80 to 89,90
05/11/2019,Continued claims by age,80 to 89,87
05/18/2019,Continued claims by age,80 to 89,87
05/25/2019,Continued claims by age,80 to 89,87
06/01/2019,Continued claims by age,80 to 89,87
06/08/2019,Continued claims by age,80 to 89,86
06/15/2019,Continued claims by age,80 to 89,99
06/22/2019,Continued claims by age,80 to 89,132
06/29/2019,Continued claims by age,80 to 89,153
07/06/2019,Continued claims by age,80 to 89,152
07/13/2019,Continued claims by age,80 to 89,143
07/20/2019,Continued claims by age,80 to 89,141
07/27/2019,Continued claims by age,80 to 89,143
08/03/2019,Continued claims by age,80 to 89,150
08/10/2019,Continued claims by age,80 to 89,153
08/17/2019,Continued claims by age,80 to 89,156
08/24/2019,Continued claims by age,80 to 89,155
08/31/2019,Continued claims by age,80 to 89,117
09/07/2019,Continued claims by age,80 to 89,91
09/14/2019,Continued claims by age,80 to 89,91
09/21/2019,Continued claims by age,80 to 89,89
09/28/2019,Continued claims by age,80 to 89,91
10/05/2019,Continued claims by age,80 to 89,96
10/12/2019,Continued claims by age,80 to 89,97
10/19/2019,Continued claims by age,80 to 89,93
10/26/2019,Continued claims by age,80 to 89,94
11/02/2019,Continued claims by age,80 to 89,97
11/09/2019,Continued claims by age,80 to 89,93
11/16/2019,Continued claims by age,80 to 89,101
11/23/2019,Continued claims by age,80 to 89,109
11/30/2019,Continued claims by age,80 to 89,120
12/07/2019,Continued claims by age,80 to 89,125
12/14/2019,Continued claims by age,80 to 89,133
12/21/2019,Continued claims by age,80 to 89,165
12/28/2019,Continued claims by age,80 to 89,183
01/04/2020,Continued claims by age,80 to 89,163
01/11/2020,Continued claims by age,80 to 89,147
01/18/2020,Continued claims by age,80 to 89,148
01/25/2020,Continued claims by age,80 to 89,145
02/01/2020,Continued claims by age,80 to 89,144
02/08/2020,Continued claims by age,80 to 89,145
02/15/2020,Continued claims by age,80 to 89,151
02/22/2020,Continued claims by age,80 to 89,152
02/29/2020,Continued claims by age,80 to 89,149
03/07/2020,Continued claims by age,80 to 89,153
03/14/2020,Continued claims by age,80 to 89,191
03/21/2020,Continued claims by age,80 to 89,405
03/28/2020,Continued claims by age,80 to 89,615
04/04/2020,Continued claims by age,80 to 89,851
04/11/2020,Continued claims by age,80 to 89,963
04/18/2020,Continued claims by age,80 to 89,1045
04/25/2020,Continued claims by age,80 to 89,1092
05/02/2020,Continued claims by age,80 to 89,1154
05/09/2020,Continued claims by age,80 to 89,1150
05/16/2020,Continued claims by age,80 to 89,1164
05/23/2020,Continued claims by age,80 to 89,1176
05/30/2020,Continued claims by age,80 to 89,1181
06/06/2020,Continued claims by age,80 to 89,1190
06/13/2020,Continued claims by age,80 to 89,1199
06/20/2020,Continued claims by age,80 to 89,1204
06/27/2020,Continued claims by age,80 to 89,1202
07/04/2020,Continued claims by age,80 to 89,1188
07/11/2020,Continued claims by age,80 to 89,1192
07/18/2020,Continued claims by age,80 to 89,1211
07/25/2020,Continued claims by age,80 to 89,1238
08/01/2020,Continued claims by age,80 to 89,1210
08/08/2020,Continued claims by age,80 to 89,1179
08/15/2020,Continued claims by age,80 to 89,1160
08/22/2020,Continued claims by age,80 to 89,1138
08/29/2020,Continued claims by age,80 to 89,1125
09/05/2020,Continued claims by age,80 to 89,1096
09/12/2020,Continued claims by age,80 to 89,1039
09/19/2020,Continued claims by age,80 to 89,995
09/26/2020,Continued claims by age,80 to 89,982
10/03/2020,Continued claims by age,80 to 89,964
10/10/2020,Continued claims by age,80 to 89,949
10/17/2020,Continued claims by age,80 to 89,935
10/24/2020,Continued claims by age,80 to 89,927
10/31/2020,Continued claims by age,80 to 89,922
11/07/2020,Continued claims by age,80 to 89,917
11/14/2020,Continued claims by age,80 to 89,887
11/21/2020,Continued claims by age,80 to 89,878
11/28/2020,Continued claims by age,80 to 89,878
12/05/2020,Continued claims by age,80 to 89,884
12/12/2020,Continued claims by age,80 to 89,888
12/19/2020,Continued claims by age,80 to 89,874
12/26/2020,Continued claims by age,80 to 89,885
01/02/2021,Continued claims by age,80 to 89,938
01/09/2021,Continued claims by age,80 to 89,945
01/16/2021,Continued claims by age,80 to 89,952
01/23/2021,Continued claims by age,80 to 89,942
01/30/2021,Continued claims by age,80 to 89,951
02/06/2021,Continued claims by age,80 to 89,957
02/13/2021,Continued claims by age,80 to 89,970
02/20/2021,Continued claims by age,80 to 89,969
02/27/2021,Continued claims by age,80 to 89,960
03/06/2021,Continued claims by age,80 to 89,959
03/13/2021,Continued claims by age,80 to 89,956
03/20/2021,Continued claims by age,80 to 89,946
03/27/2021,Continued claims by age,80 to 89,927
04/03/2021,Continued claims by age,80 to 89,898
04/10/2021,Continued claims by age,80 to 89,922
04/17/2021,Continued claims by age,80 to 89,911
04/24/2021,Continued claims by age,80 to 89,888
05/01/2021,Continued claims by age,80 to 89,880
05/08/2021,Continued claims by age,80 to 89,865
05/15/2021,Continued claims by age,80 to 89,852
05/22/2021,Continued claims by age,80 to 89,843
05/29/2021,Continued claims by age,80 to 89,810
06/05/2021,Continued claims by age,80 to 89,736
06/12/2021,Continued claims by age,80 to 89,711
06/19/2021,Continued claims by age,80 to 89,727
06/26/2021,Continued claims by age,80 to 89,729
07/03/2021,Continued claims by age,80 to 89,717
07/10/2021,Continued claims by age,80 to 89,596
07/17/2021,Continued claims by age,80 to 89,560
07/24/2021,Continued claims by age,80 to 89,537
07/31/2021,Continued claims by age,80 to 89,528
08/07/2021,Continued claims by age,80 to 89,534
08/14/2021,Continued claims by age,80 to 89,528
08/21/2021,Continued claims by age,80 to 89,521
08/28/2021,Continued claims by age,80 to 89,508
09/04/2021,Continued claims by age,80 to 89,442
09/11/2021,Continued claims by age,80 to 89,282
09/18/2021,Continued claims by age,80 to 89,217
09/25/2021,Continued claims by age,80 to 89,210
10/02/2021,Continued claims by age,80 to 89,195
10/09/2021,Continued claims by age,80 to 89,190
10/16/2021,Continued claims by age,80 to 89,182
10/23/2021,Continued claims by age,80 to 89,174
10/30/2021,Continued claims by age,80 to 89,168
11/06/2021,Continued claims by age,80 to 89,176
11/13/2021,Continued claims by age,80 to 89,176
11/20/2021,Continued claims by age,80 to 89,175
11/27/2021,Continued claims by age,80 to 89,176
12/04/2021,Continued claims by age,80 to 89,179
12/11/2021,Continued claims by age,80 to 89,109
12/18/2021,Continued claims by age,80 to 89,106
12/25/2021,Continued claims by age,80 to 89,143
01/01/2022,Continued claims by age,80 to 89,152
01/08/2022,Continued claims by age,80 to 89,118
01/15/2022,Continued claims by age,80 to 89,98
01/22/2022,Continued claims by age,80 to 89,92
01/29/2022,Continued claims by age,80 to 89,86
02/05/2022,Continued claims by age,80 to 89,88
02/12/2022,Continued claims by age,80 to 89,89
02/19/2022,Continued claims by age,80 to 89,95
02/26/2022,Continued claims by age,80 to 89,95
03/05/2022,Continued claims by age,80 to 89,96
03/12/2022,Continued claims by age,80 to 89,86
03/19/2022,Continued claims by age,80 to 89,76
03/26/2022,Continued claims by age,80 to 89,71
04/02/2022,Continued claims by age,80 to 89,66
04/09/2022,Continued claims by age,80 to 89,59
04/16/2022,Continued claims by age,80 to 89,66
01/05/2019,Continued claims by age,90 plus,6
01/12/2019,Continued claims by age,90 plus,6
01/19/2019,Continued claims by age,90 plus,6
01/26/2019,Continued claims by age,90 plus,7
02/02/2019,Continued claims by age,90 plus,6
02/09/2019,Continued claims by age,90 plus,6
02/16/2019,Continued claims by age,90 plus,6
02/23/2019,Continued claims by age,90 plus,4
03/02/2019,Continued claims by age,90 plus,4
03/09/2019,Continued claims by age,90 plus,6
03/16/2019,Continued claims by age,90 plus,6
03/23/2019,Continued claims by age,90 plus,6
03/30/2019,Continued claims by age,90 plus,6
04/06/2019,Continued claims by age,90 plus,6
04/13/2019,Continued claims by age,90 plus,9
04/20/2019,Continued claims by age,90 plus,10
04/27/2019,Continued claims by age,90 plus,9
05/04/2019,Continued claims by age,90 plus,9
05/11/2019,Continued claims by age,90 plus,7
05/18/2019,Continued claims by age,90 plus,7
05/25/2019,Continued claims by age,90 plus,6
06/01/2019,Continued claims by age,90 plus,8
06/08/2019,Continued claims by age,90 plus,9
06/15/2019,Continued claims by age,90 plus,9
06/22/2019,Continued claims by age,90 plus,10
06/29/2019,Continued claims by age,90 plus,11
07/06/2019,Continued claims by age,90 plus,11
07/13/2019,Continued claims by age,90 plus,13
07/20/2019,Continued claims by age,90 plus,12
07/27/2019,Continued claims by age,90 plus,13
08/03/2019,Continued claims by age,90 plus,13
08/10/2019,Continued claims by age,90 plus,11
08/17/2019,Continued claims by age,90 plus,11
08/24/2019,Continued claims by age,90 plus,11
08/31/2019,Continued claims by age,90 plus,9
09/07/2019,Continued claims by age,90 plus,8
09/14/2019,Continued claims by age,90 plus,6
09/21/2019,Continued claims by age,90 plus,5
09/28/2019,Continued claims by age,90 plus,5
10/05/2019,Continued claims by age,90 plus,6
10/12/2019,Continued claims by age,90 plus,6
10/19/2019,Continued claims by age,90 plus,5
10/26/2019,Continued claims by age,90 plus,6
11/02/2019,Continued claims by age,90 plus,5
11/09/2019,Continued claims by age,90 plus,3
11/16/2019,Continued claims by age,90 plus,3
11/23/2019,Continued claims by age,90 plus,3
11/30/2019,Continued claims by age,90 plus,3
12/07/2019,Continued claims by age,90 plus,2
12/14/2019,Continued claims by age,90 plus,3
12/21/2019,Continued claims by age,90 plus,3
12/28/2019,Continued claims by age,90 plus,5
01/04/2020,Continued claims by age,90 plus,6
01/11/2020,Continued claims by age,90 plus,4
01/18/2020,Continued claims by age,90 plus,4
01/25/2020,Continued claims by age,90 plus,4
02/01/2020,Continued claims by age,90 plus,4
02/08/2020,Continued claims by age,90 plus,4
02/15/2020,Continued claims by age,90 plus,6
02/22/2020,Continued claims by age,90 plus,7
02/29/2020,Continued claims by age,90 plus,8
03/07/2020,Continued claims by age,90 plus,8
03/14/2020,Continued claims by age,90 plus,8
03/21/2020,Continued claims by age,90 plus,40
03/28/2020,Continued claims by age,90 plus,66
04/04/2020,Continued claims by age,90 plus,84
04/11/2020,Continued claims by age,90 plus,94
04/18/2020,Continued claims by age,90 plus,105
04/25/2020,Continued claims by age,90 plus,107
05/02/2020,Continued claims by age,90 plus,117
05/09/2020,Continued claims by age,90 plus,109
05/16/2020,Continued claims by age,90 plus,115
05/23/2020,Continued claims by age,90 plus,117
05/30/2020,Continued claims by age,90 plus,121
06/06/2020,Continued claims by age,90 plus,113
06/13/2020,Continued claims by age,90 plus,115
06/20/2020,Continued claims by age,90 plus,122
06/27/2020,Continued claims by age,90 plus,122
07/04/2020,Continued claims by age,90 plus,122
07/11/2020,Continued claims by age,90 plus,119
07/18/2020,Continued claims by age,90 plus,122
07/25/2020,Continued claims by age,90 plus,123
08/01/2020,Continued claims by age,90 plus,118
08/08/2020,Continued claims by age,90 plus,109
08/15/2020,Continued claims by age,90 plus,107
08/22/2020,Continued claims by age,90 plus,100
08/29/2020,Continued claims by age,90 plus,94
09/05/2020,Continued claims by age,90 plus,94
09/12/2020,Continued claims by age,90 plus,96
09/19/2020,Continued claims by age,90 plus,95
09/26/2020,Continued claims by age,90 plus,89
10/03/2020,Continued claims by age,90 plus,85
10/10/2020,Continued claims by age,90 plus,85
10/17/2020,Continued claims by age,90 plus,85
10/24/2020,Continued claims by age,90 plus,82
10/31/2020,Continued claims by age,90 plus,75
11/07/2020,Continued claims by age,90 plus,77
11/14/2020,Continued claims by age,90 plus,75
11/21/2020,Continued claims by age,90 plus,70
11/28/2020,Continued claims by age,90 plus,70
12/05/2020,Continued claims by age,90 plus,69
12/12/2020,Continued claims by age,90 plus,72
12/19/2020,Continued claims by age,90 plus,65
12/26/2020,Continued claims by age,90 plus,62
01/02/2021,Continued claims by age,90 plus,67
01/09/2021,Continued claims by age,90 plus,67
01/16/2021,Continued claims by age,90 plus,68
01/23/2021,Continued claims by age,90 plus,70
01/30/2021,Continued claims by age,90 plus,71
02/06/2021,Continued claims by age,90 plus,70
02/13/2021,Continued claims by age,90 plus,71
02/20/2021,Continued claims by age,90 plus,72
02/27/2021,Continued claims by age,90 plus,73
03/06/2021,Continued claims by age,90 plus,69
03/13/2021,Continued claims by age,90 plus,70
03/20/2021,Continued claims by age,90 plus,74
03/27/2021,Continued claims by age,90 plus,71
04/03/2021,Continued claims by age,90 plus,70
04/10/2021,Continued claims by age,90 plus,71
04/17/2021,Continued claims by age,90 plus,72
04/24/2021,Continued claims by age,90 plus,70
05/01/2021,Continued claims by age,90 plus,70
05/08/2021,Continued claims by age,90 plus,68
05/15/2021,Continued claims by age,90 plus,63
05/22/2021,Continued claims by age,90 plus,66
05/29/2021,Continued claims by age,90 plus,65
06/05/2021,Continued claims by age,90 plus,63
06/12/2021,Continued claims by age,90 plus,63
06/19/2021,Continued claims by age,90 plus,61
06/26/2021,Continued claims by age,90 plus,61
07/03/2021,Continued claims by age,90 plus,63
07/10/2021,Continued claims by age,90 plus,56
07/17/2021,Continued claims by age,90 plus,46
07/24/2021,Continued claims by age,90 plus,41
07/31/2021,Continued claims by age,90 plus,38
08/07/2021,Continued claims by age,90 plus,39
08/14/2021,Continued claims by age,90 plus,37
08/21/2021,Continued claims by age,90 plus,34
08/28/2021,Continued claims by age,90 plus,34
09/04/2021,Continued claims by age,90 plus,31
09/11/2021,Continued claims by age,90 plus,21
09/18/2021,Continued claims by age,90 plus,15
09/25/2021,Continued claims by age,90 plus,12
10/02/2021,Continued claims by age,90 plus,11
10/09/2021,Continued claims by age,90 plus,13
10/16/2021,Continued claims by age,90 plus,13
10/23/2021,Continued claims by age,90 plus,12
10/30/2021,Continued claims by age,90 plus,12
11/06/2021,Continued claims by age,90 plus,12
11/13/2021,Continued claims by age,90 plus,12
11/20/2021,Continued claims by age,90 plus,13
11/27/2021,Continued claims by age,90 plus,12
12/04/2021,Continued claims by age,90 plus,12
12/11/2021,Continued claims by age,90 plus,7
12/18/2021,Continued claims by age,90 plus,8
12/25/2021,Continued claims by age,90 plus,7
01/01/2022,Continued claims by age,90 plus,11
01/08/2022,Continued claims by age,90 plus,8
01/15/2022,Continued claims by age,90 plus,7
01/22/2022,Continued claims by age,90 plus,7
01/29/2022,Continued claims by age,90 plus,5
02/05/2022,Continued claims by age,90 plus,5
02/12/2022,Continued claims by age,90 plus,5
02/19/2022,Continued claims by age,90 plus,5
02/26/2022,Continued claims by age,90 plus,5
03/05/2022,Continued claims by age,90 plus,4
03/12/2022,Continued claims by age,90 plus,2
03/19/2022,Continued claims by age,90 plus,2
03/26/2022,Continued claims by age,90 plus,1
04/02/2022,Continued claims by age,90 plus,1
04/09/2022,Continued claims by age,90 plus,2
04/16/2022,Continued claims by age,90 plus,2
01/05/2019,Continued claims by age,Unknown,134
01/12/2019,Continued claims by age,Unknown,139
01/19/2019,Continued claims by age,Unknown,138
01/26/2019,Continued claims by age,Unknown,139
02/02/2019,Continued claims by age,Unknown,139
02/09/2019,Continued claims by age,Unknown,135
02/16/2019,Continued claims by age,Unknown,135
02/23/2019,Continued claims by age,Unknown,128
03/02/2019,Continued claims by age,Unknown,122
03/09/2019,Continued claims by age,Unknown,122
03/16/2019,Continued claims by age,Unknown,123
03/23/2019,Continued claims by age,Unknown,115
03/30/2019,Continued claims by age,Unknown,118
04/06/2019,Continued claims by age,Unknown,112
04/13/2019,Continued claims by age,Unknown,111
04/20/2019,Continued claims by age,Unknown,122
04/27/2019,Continued claims by age,Unknown,114
05/04/2019,Continued claims by age,Unknown,110
05/11/2019,Continued claims by age,Unknown,107
05/18/2019,Continued claims by age,Unknown,104
05/25/2019,Continued claims by age,Unknown,100
06/01/2019,Continued claims by age,Unknown,105
06/08/2019,Continued claims by age,Unknown,111
06/15/2019,Continued claims by age,Unknown,107
06/22/2019,Continued claims by age,Unknown,109
06/29/2019,Continued claims by age,Unknown,109
